User,Currency,Plot Size,Last Water,Inventory,plot1status,plot2status,plot3status,plot4status,plot5status,plot6status,plot7status,plot8status,plot9status
259483152718889000,109,l,1645589210.224165,0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
230046015619727000,0,s,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125704455621574000,0,s,1645498729.65781,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201359480464605000,0,s,1645498731.28227,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562294847055069185,0,s,1645503704.438442,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201359480464605184,30,l,1645600026.612747,4,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
322892864843677698,2,s,1645600202.961652,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125704455621574656,2,s,1645508046.385885,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
852689935013642311,4,s,1645554886.347205,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283705969840488448,0,s,1645665628.109198,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
